locationID,CATEGORY,-6,-5,-4,-3,-2,-1,Stress,stress_category
New Caledonia,-5,2,2,4,-5,2,-5,-8.4,-2
Pitcairn Islands,4,4,-3,-3,-5,2,4,3.8,1
Papua New Guinea,-5,-3,0,2,0,-5,4,-5.4,-1
Solomon Islands,4,-3,4,4,-3,2,-5,1.9999999999999996,0
Kiribati: Phoenix Islands,4,2,4,0,0,4,2,12.0,3
Fiji,-3,4,0,4,4,0,-5,-1.5999999999999999,0
Tuvalu,4,-3,4,0,-3,4,-5,1.5999999999999996,0
Northern Cook Islands,-3,0,-3,-3,2,2,-5,-7.4,-2
Kiribati: Line Islands,4,-3,2,0,2,2,4,11.8,3
Federated States of Micronesia,-3,-5,-3,-3,4,-3,4,-2.8,-1
Samoa,4,2,-3,2,-3,4,-5,0.9999999999999996,0
Kiribati: Gilbert Islands,4,0,0,2,4,4,4,16.4,3
Wallis & Futuna,4,4,-3,4,2,4,-5,6.6,2
Tokelau,2,-3,-3,-3,0,2,-5,-4.6,-1
Tuamotu / Gambier Islands,0,-3,-3,-3,-5,0,4,-3.6,-1
Tonga,-5,2,-5,4,4,4,0,3.0,1
Niue,-5,-3,-5,4,2,-3,-5,-11.6,-3
Southern Cook Islands,0,4,0,2,2,4,4,11.6,3
Austral Islands,0,2,-3,0,4,4,-3,3.4,1
Society Islands,0,-5,-3,-5,2,0,2,-1.6,0
Marquesas,-5,-3,0,2,0,-5,0,-9.4,-2
Vanuatu South,-5,4,2,2,-3,-3,-3,-10.600000000000001,-3
Vanuatu North,-5,-3,-5,4,-3,2,-5,-10.6,-3
Guam,-5,-3,2,2,0,4,-3,-2.6,-1
Northern Marianas,-5,0,2,-3,-3,2,-5,-11.4,-3
Marshall Islands,-5,0,-3,2,0,2,0,-3.0,-1
Nauru,4,0,4,0,2,4,4,15.2,3
Palau,-5,0,0,0,-3,-5,2,-10.4,-3
American Samoa,4,4,-3,4,-5,4,-3,3.0,1
